Question Type,Domain,Language,Difficulty Level,Question Text,Correct Answer,First Answer,Is Correct,Second Answer,Is Correct,Third Answer,Is Correct,Fourth Answer,Is Correct
Open Ended,Java,English,Easy,What is a Static Variable?,A Static Variable belongs to the class rather than any instance and is shared among all instances. It's declared using the 'static' keyword.,,,,,,,,
Open Ended,Java,English,Easy,What is Exception Handling?,"Exception Handling is a mechanism to handle runtime errors, allowing the program's normal flow to continue by catching and managing exceptions.",,,,,,,,
Open Ended,Java,English,Easy,What are Checked and Unchecked Exceptions?,Checked Exceptions are checked at compile-time and must be handled or declared in the method signature. Unchecked Exceptions occur at runtime and include RuntimeException and its subclasses.,,,,,,,,
Open Ended,Java,English,Easy,What is the 'finally' block?,"The 'finally' block contains code that is always executed after the try and catch blocks, regardless of whether an exception was thrown or caught.",,,,,,,,
Open Ended,Java,English,Easy,What is the difference between '==' and '.equals()'?,"'==' checks if two references point to the same object in memory (reference equality), while '.equals()' checks if the objects are logically equivalent (value equality).",,,,,,,,
Open Ended,Java,English,Easy,What is a Package in Java?,"A Package is a namespace that organizes related classes and interfaces, helping to prevent naming conflicts and to control access.",,,,,,,,
Open Ended,Java,English,Easy,What is the Java Collections Framework?,"It is a set of classes and interfaces that implement commonly reusable collection data structures like Lists, Sets, Queues, and Maps.",,,,,,,,
Open Ended,Java,English,Easy,What is an ArrayList in Java?,"An ArrayList is a resizable array implementation of the List interface, part of the Java Collections Framework, which allows dynamic growth and shrinkage.",,,,,,,,
Open Ended,Java,English,Easy,What is Garbage Collection?,Garbage Collection is the automatic process of reclaiming memory by deleting objects that are no longer reachable or in use by the program.,,,,,,,,
Open Ended,Java,English,Easy,What is the 'final' keyword used for?,"The 'final' keyword can be applied to variables (making them constants), methods (preventing overriding), and classes (preventing inheritance).",,,,,,,,
Open Ended,Java,English,Easy,What is a 'static' method?,A 'static' method belongs to the class rather than any instance and can be called without creating an object. It can only access static data.,,,,,,,,
Open Ended,Java,English,Easy,What are Wrapper Classes?,"Wrapper Classes provide a way to use primitive data types (int, char, etc.) as objects. Examples include Integer, Character, and Double.",,,,,,,,
Open Ended,Java,English,Easy,What is JDBC?,Java Database Connectivity (JDBC) is an API that allows Java programs to connect to and interact with databases through SQL queries.,,,,,,,,
Open Ended,Java,English,Easy,What is Multithreading?,Multithreading is a feature that allows concurrent execution of two or more threads (parts of a program) for maximum utilization of CPU resources.,,,,,,,,
Open Ended,Java,English,Easy,What is Synchronization?,Synchronization is a mechanism that controls the access of multiple threads to shared resources to prevent data inconsistency.,,,,,,,,
Open Ended,Java,English,Easy,What is the difference between 'throw' and 'throws'?,'throw' is used to explicitly throw an exception from a method or block of code. 'throws' is used in a method signature to declare that an exception might be thrown by the method.,,,,,,,,
Open Ended,Java,English,Easy,What is an Exception?,An Exception is an event that occurs during the execution of a program and disrupts the normal flow of instructions.,,,,,,,,
Open Ended,Java,English,Easy,What is a 'try-catch' block?,"A 'try' block contains code that might throw an exception, and the 'catch' block handles the exception, allowing the program to continue or fail gracefully.",,,,,,,,
Open Ended,Java,English,Easy,What is the significance of the 'main' method in Java?,The 'main' method is the entry point of any Java application. It's where the program starts execution.,,,,,,,,
Open Ended,Java,English,Easy,What is a 'NullPointerException'?,"It is a runtime exception that occurs when attempting to use an object reference that has not been assigned any object (i.e., is null).",,,,,,,,
Open Ended,Java,English,Easy,What is an Iterator?,"An Iterator is an object that enables traversing through a collection, providing methods like 'hasNext()' and 'next()'.",,,,,,,,
Open Ended,Java,English,Easy,What is the 'hashCode()' method?,"The 'hashCode()' method returns an integer hash code value for the object, used in hashing-based collections like HashMap.",,,,,,,,
Open Ended,Java,English,Easy,What is the difference between an Array and a LinkedList?,"An Array stores elements in contiguous memory locations and allows fast index-based access. A LinkedList stores elements as nodes connected through links, allowing efficient insertions and deletions.",,,,,,,,
Open Ended,Java,English,Easy,What is an Abstract Class?,"An Abstract Class cannot be instantiated and may contain abstract methods that must be implemented by subclasses, providing a base for other classes.",,,,,,,,
Open Ended,Java,English,Easy,What is the 'instanceof' keyword used for?,"The 'instanceof' keyword checks whether an object is an instance of a specific class or an interface, returning a boolean result.",,,,,,,,
Open Ended,Java,English,Easy,What is Type Casting?,Type Casting is converting a variable from one data type to another. It can be implicit (widening) or explicit (narrowing).,,,,,,,,
Open Ended,Java,English,Easy,What are Generics in Java?,"Generics enable types (classes and interfaces) to be parameters when defining classes, interfaces, and methods, providing compile-time type safety by preventing ClassCastException.",,,,,,,,
Open Ended,Java,English,Easy,What is a Daemon Thread?,A Daemon Thread runs in the background to perform tasks like garbage collection and stops when all user threads have finished executing.,,,,,,,,
Open Ended,Java,English,Easy,What is the Java Virtual Machine (JVM)?,The JVM is an abstract computing machine that enables a computer to run Java programs by executing compiled Java bytecode.,,,,,,,,
Open Ended,Java,English,Easy,What is String Immutability in Java?,"In Java, Strings are immutable, meaning their value cannot be changed once created. Any modification results in a new String object.",,,,,,,,
Open Ended,Java,English,Easy,What is Reflection?,"Reflection is an API that allows examination or modification of classes, interfaces, methods, and fields at runtime, providing flexibility in code.",,,,,,,,
Open Ended,Java,English,Easy,What is the Singleton Design Pattern?,"The Singleton Pattern ensures a class has only one instance and provides a global point of access to it, commonly used for centralized management.",,,,,,,,
Open Ended,Java,English,Easy,What is the purpose of the 'transient' keyword?,"The 'transient' keyword is used in serialization to indicate that a field should not be serialized, meaning its value won't be saved or restored.",,,,,,,,
Open Ended,Java,English,Easy,What is an Enum in Java?,"An Enum is a special data type that represents a group of constants (unchangeable variables), improving type safety and readability.",,,,,,,,
Open Ended,Java,English,Easy,"What is the difference between '==', '.equals()', and '.compareTo()'?","'==' checks reference equality, '.equals()' checks logical equality, and '.compareTo()' compares two objects to determine their ordering.",,,,,,,,
Open Ended,Java,English,Easy,What is an Annotation in Java?,"Annotations are metadata that provide data about a program that is not part of the program itself, used to give instructions to the compiler or runtime.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este o Clasă în Java?,O Clasă este un șablon sau model care definește structura și comportamentul (datele și metodele) pe care le împărtășesc obiectele clasei.,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este un Obiect în Java?,Un Obiect este o instanță a unei clase care conține valori actuale corespunzătoare proprietăților definite în clasă.,,,,,,,,
Open Ended,Java,Romanian,Easy,Care sunt principalele principii ale Programării Orientate pe Obiecte?,"Principalele principii sunt Încapsularea, Abstracția, Moștenirea și Polimorfismul.",,,,,,,,
Open Ended,Java,Romanian,Easy,Explicați Încapsularea cu un exemplu.,"Încapsularea este conceptul de a înfășura datele (variabilele) și codul (metodele) împreună ca o singură unitate și de a restricționa accesul la mecanismele interne ale acelei clase. De exemplu, folosind variabile private cu metode publice getter și setter.",,,,,,,,
Open Ended,Java,Romanian,Easy,Explicați Moștenirea în Java.,"Moștenirea permite unei noi clase să moștenească proprietăți și metode de la o clasă existentă, promovând reutilizarea codului și clasificarea ierarhică.",,,,,,,,
Open Ended,Java,Romanian,Easy,Descrieți Polimorfismul în Java.,"Polimorfismul permite obiectelor să fie tratate ca instanțe ale clasei lor părinte mai degrabă decât ale clasei lor reale, permițând unei singure interfețe să reprezinte diferite forme subiacente (tipuri de date).",,,,,,,,
Open Ended,Java,Romanian,Easy,Explicați Abstracția cu un exemplu.,"Abstracția înseamnă ascunderea detaliilor complexe de implementare și afișarea doar a caracteristicilor esențiale ale unui obiect. De exemplu, definirea unei clase abstracte cu metode abstracte pe care subclasele trebuie să le implementeze.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Supraîncărcarea Metodelor?,Supraîncărcarea Metodelor înseamnă existența mai multor metode în aceeași clasă cu același nume  dar cu parametri diferiți (tip sau număr).,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Suprascrierea Metodelor?,Suprascrierea Metodelor are loc atunci când o subclasă furnizează o implementare specifică a unei metode deja definite în superclasa sa cu aceeași semnătură.,,,,,,,,
Open Ended,Java,Romanian,Easy,Care este scopul cuvântului cheie 'this'?,"Cuvântul cheie 'this' se referă la instanța curentă a obiectului și este folosit pentru a accesa variabilele și metodele clasei, în special când acestea sunt ascunse de parametri.",,,,,,,,
Open Ended,Java,Romanian,Easy,Care este scopul cuvântului cheie 'super'?,"Cuvântul cheie 'super' este folosit pentru a se referi la obiectul imediat al clasei părinte și pentru a accesa metodele și variabilele sale, precum și pentru a apela constructorii clasei părinte.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce sunt Constructorii în Java?,Constructorii sunt metode speciale folosite pentru a inițializa noi obiecte. Au același nume ca și clasa și nu au un tip de returnare.,,,,,,,,
Open Ended,Java,Romanian,Easy,Care este diferența dintre o Interfață și o Clasă Abstractă?,"O Interfață declară metode fără implementări (înainte de Java 8), iar o clasă poate implementa multiple interfețe. O Clasă Abstractă poate avea atât metode abstracte, cât și concrete, dar o clasă poate extinde doar o singură clasă abstractă.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este o Variabilă Statică?,O Variabilă Statică aparține clasei mai degrabă decât oricărei instanțe și este partajată între toate instanțele. Este declarată folosind cuvântul cheie 'static'.,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Gestionarea Excepțiilor?,"Gestionarea Excepțiilor este un mecanism pentru a gestiona erorile la rulare, permițând fluxului normal al programului să continue prin capturarea și gestionarea excepțiilor.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce sunt Excepțiile Verificate și Neverificate?,Excepțiile Verificate sunt verificate la compilare și trebuie gestionate sau declarate în semnătura metodei. Excepțiile Neverificate apar la rulare și includ RuntimeException și subclasele sale.,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este blocul 'finally'?,"Blocul 'finally' conține cod care este întotdeauna executat după blocurile try și catch, indiferent dacă a fost aruncată sau prinsă o excepție.",,,,,,,,
Open Ended,Java,Romanian,Easy,Care este diferența dintre '==' și '.equals()'?,"'==' verifică dacă două referințe indică spre același obiect în memorie (egalitate de referință), în timp ce '.equals()' verifică dacă obiectele sunt logic echivalente (egalitate de valoare).",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este un Pachet în Java?,"Un Pachet este un spațiu de nume care organizează clasele și interfețele înrudite, ajutând la prevenirea conflictelor de nume și la controlul accesului.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Java Collections Framework?,"Este un set de clase și interfețe care implementează structuri de date colecții reutilizabile, cum ar fi Liste, Seturi, Cozi și Hărți (Lists, Sets, Queues, Maps).",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este un ArrayList în Java?,"Un ArrayList este o implementare de listă redimensionabilă a interfeței List, parte a Java Collections Framework, care permite creșterea și micșorarea dinamică.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Garbage Collection?,Garbage Collection este procesul automat de recuperare a memoriei prin ștergerea obiectelor care nu mai sunt accesibile sau utilizate de program.,,,,,,,,
Open Ended,Java,Romanian,Easy,Pentru ce este folosit cuvântul cheie 'final'?,"Cuvântul cheie 'final' poate fi aplicat variabilelor (făcându-le constante), metodelor (prevenind suprascrierea) și claselor (prevenind moștenirea).",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este o metodă 'static'?,O metodă 'static' aparține clasei mai degrabă decât oricărei instanțe și poate fi apelată fără a crea un obiect. Poate accesa doar date statice.,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce sunt Clasele Wrapper?,"Clasele Wrapper oferă o modalitate de a utiliza tipurile de date primitive (int, char, etc.) ca obiecte. Exemple includ Integer, Character și Double.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este JDBC?,Java Database Connectivity (JDBC) este o API care permite programelor Java să se conecteze și să interacționeze cu baze de date prin interogări SQL.,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Multithreading?,Multithreading este o caracteristică care permite execuția concurentă a două sau mai multe fire de execuție (părți ale unui program) pentru utilizarea maximă a resurselor CPU.,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Sincronizarea?,Sincronizarea este un mecanism care controlează accesul mai multor fire de execuție la resursele partajate pentru a preveni inconsistența datelor.,,,,,,,,
Open Ended,Java,Romanian,Easy,Care este diferența dintre 'throw' și 'throws'?,'throw' este folosit pentru a arunca explicit o excepție dintr-o metodă sau bloc de cod. 'throws' este folosit în semnătura unei metode pentru a declara că o excepție ar putea fi aruncată de metodă.,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este o Excepție?,O Excepție este un eveniment care apare în timpul execuției unui program și perturbă fluxul normal al instrucțiunilor.,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este un bloc 'try-catch'?,"Un bloc 'try' conține cod care ar putea arunca o excepție, iar blocul 'catch' gestionează excepția, permițând programului să continue sau să se termine grațios.",,,,,,,,
Open Ended,Java,Romanian,Easy,Care este semnificația metodei 'main' în Java?,Metoda 'main' este punctul de intrare al oricărei aplicații Java. Este locul unde programul începe execuția.,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este o 'NullPointerException'?,Este o excepție la rulare care apare atunci când se încearcă utilizarea unei referințe de obiect care nu a fost atribuită niciunui obiect (adică este null).,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este un Iterator?,"Un Iterator este un obiect care permite traversarea unei colecții, oferind metode precum 'hasNext()' și 'next()'.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este metoda 'hashCode()'?,"Metoda 'hashCode()' returnează o valoare de cod hash de tip întreg pentru obiect, folosită în colecții bazate pe hashing precum HashMap.",,,,,,,,
Open Ended,Java,Romanian,Easy,Care este diferența dintre un Array și un LinkedList?,"Un Array stochează elemente în locații de memorie contigue și permite acces rapid bazat pe index. Un LinkedList stochează elemente ca noduri conectate prin legături, permițând inserții și ștergeri eficiente.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este o Clasă Abstractă?,"O Clasă Abstractă nu poate fi instanțiată și poate conține metode abstracte care trebuie implementate de subclase, oferind o bază pentru alte clase.",,,,,,,,
Open Ended,Java,Romanian,Easy,Pentru ce este folosit cuvântul cheie 'instanceof'?,"Cuvântul cheie 'instanceof' verifică dacă un obiect este o instanță a unei clase sau interfețe specifice, returnând un rezultat boolean.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Conversia de Tip (Type Casting)?,Conversia de Tip este procesul de convertire a unei variabile de la un tip de date la altul. Poate fi implicită (lărgire) sau explicită (restrângere).,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce sunt Genericele în Java?,"Genericele permit tipurilor (clase și interfețe) să fie parametri atunci când se definesc clase, interfețe și metode, oferind siguranță de tip la compilare prin prevenirea ClassCastException.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este un Fir de Execuție Daemon?,Un Fir de Execuție Daemon rulează în fundal pentru a efectua sarcini precum colectarea deșeurilor și se oprește atunci când toate firele de execuție de utilizator au terminat execuția.,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Java Virtual Machine (JVM)?,JVM este o mașină de calcul abstractă care permite unui computer să ruleze programe Java prin executarea bytecode-ului Java compilat.,,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Imuabilitatea Stringurilor în Java?,"În Java, Stringurile sunt imuabile, ceea ce înseamnă că valoarea lor nu poate fi schimbată odată create. Orice modificare rezultă într-un nou obiect String.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Reflectarea (Reflection)?,"Reflectarea este o API care permite examinarea sau modificarea claselor, interfețelor, metodelor și câmpurilor la rulare, oferind flexibilitate în cod.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este Pattern-ul Singleton?,"Pattern-ul Singleton asigură că o clasă are o singură instanță și oferă un punct global de acces la aceasta, folosit în mod obișnuit pentru management centralizat.",,,,,,,,
Open Ended,Java,Romanian,Easy,Care este scopul cuvântului cheie 'transient'?,"Cuvântul cheie 'transient' este folosit în serializare pentru a indica faptul că un câmp nu ar trebui să fie serializat, adică valoarea sa nu va fi salvată sau restaurată.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este un Enum în Java?,"Un Enum este un tip de date special care reprezintă un grup de constante (variabile neschimbabile), îmbunătățind siguranța de tip și lizibilitatea.",,,,,,,,
Open Ended,Java,Romanian,Easy,"Care este diferența dintre '==', '.equals()' și '.compareTo()'?","'==' verifică egalitatea referinței, '.equals()' verifică egalitatea logică, iar '.compareTo()' compară două obiecte pentru a determina ordinea lor.",,,,,,,,
Open Ended,Java,Romanian,Easy,Ce este o Anotare în Java?,"Anotările sunt meta-date care oferă informații despre un program care nu fac parte din programul în sine, folosite pentru a da instrucțiuni compilatorului sau la rulare.",,,,,,,,
Open Ended,Java,English,Medium,What is the difference between 'StringBuilder' and 'StringBuffer' in Java?,"Both 'StringBuilder' and 'StringBuffer' are used to create mutable strings. The main difference is that 'StringBuffer' is synchronized (thread-safe) but slower, while 'StringBuilder' is not synchronized (not thread-safe) but faster.",,,,,,,,
Open Ended,Java,English,Medium,Explain how the 'HashMap' works internally in Java.,"A 'HashMap' uses an array of buckets to store key-value pairs. It computes a hash code for the key, which determines the bucket index. In case of hash collisions, it uses a linked list or a balanced tree (since Java 8) within the bucket.",,,,,,,,
Open Ended,Java,English,Medium,What is the significance of the 'equals()' and 'hashCode()' methods?,"These methods are used in hashing data structures. 'equals()' checks logical equality, while 'hashCode()' provides a numerical representation used to place objects in buckets. Proper implementation ensures that equal objects have the same hash code.",,,,,,,,
Open Ended,Java,English,Medium,"Describe the difference between 'final', 'finally', and 'finalize' in Java.",'final' is a keyword used to define constants and prevent inheritance or overriding. 'finally' is a block used in exception handling to execute code regardless of exceptions. 'finalize' is a method called by the garbage collector before destroying an object.,,,,,,,,
Open Ended,Java,English,Medium,What is the role of a ClassLoader in Java?,A ClassLoader is part of the Java Runtime Environment that dynamically loads Java classes into the Java Virtual Machine. It handles finding and loading class files at runtime.,,,,,,,,
Open Ended,Java,English,Medium,How do you prevent a class from being subclassed in Java?,By declaring the class as 'final'. A 'final' class cannot be extended.,,,,,,,,
Open Ended,Java,English,Medium,Explain the concept of serialization and deserialization in Java.,"Serialization is the process of converting an object into a byte stream for storage or transmission. Deserialization is the reverse process, reconstructing the object from the byte stream.",,,,,,,,
Open Ended,Java,English,Medium,What is dependency injection and how is it implemented in Java?,"Dependency injection is a design pattern that allows the removal of hard-coded dependencies, making it easier to manage and test code. In Java, it's often implemented using frameworks like Spring, where dependencies are injected via constructors, setters, or interfaces.",,,,,,,,
Open Ended,Java,English,Medium,What is the purpose of the 'transient' keyword in Java serialization?,"The 'transient' keyword indicates that a field should not be serialized. During serialization, the value of a transient variable is not included in the serialized representation.",,,,,,,,
Open Ended,Java,English,Medium,How do you create an immutable class in Java?,To create an immutable class: declare the class as 'final'; make all fields 'private' and 'final'; don't provide setters; perform deep copies in getters; and ensure that methods can't be overridden.,,,,,,,,
Open Ended,Java,English,Medium,What is the purpose of the 'volatile' keyword and what are 'volatile' variables. When would you use them?,"The 'volatile' keyword indicates that a variable's value will be modified by different threads, ensuring that read/write operations are performed directly on main memory. A 'volatile' variable is one whose value is always read from and written to main memory, ensuring visibility of changes across threads. It's used in multithreaded environments to prevent threads from caching variables locally.",,,,,,,,
Open Ended,Java,English,Medium,Explain what happens if you don't override the 'hashCode()' method when overriding 'equals()'.,"If 'hashCode()' is not overridden, two equal objects (according to 'equals()') may have different hash codes, leading to incorrect behavior in hash-based collections like 'HashMap'. Equal objects should have the same hash code.",,,,,,,,
Open Ended,Java,English,Medium,What is the difference between a shallow copy and a deep copy in Java?,"A shallow copy copies the object's references to the same memory addresses, whereas a deep copy creates a new object and recursively copies all objects referenced by the original.",,,,,,,,
Open Ended,Java,English,Medium,How does Java achieve memory management?,"Java uses automatic garbage collection to manage memory. The garbage collector identifies and disposes of objects that are no longer reachable, freeing up memory.",,,,,,,,
Open Ended,Java,English,Medium,"What are soft, weak, and phantom references in Java?","They are types of references that affect garbage collection. Soft references are cleared when memory is low, weak references are cleared at the next GC cycle if not strongly reachable, and phantom references are used to perform actions after GC determines object is unreachable.",,,,,,,,
Open Ended,Java,English,Medium,Explain the use of the 'synchronized' keyword in Java.,"'synchronized' is used to control access to blocks of code or methods by multiple threads, preventing race conditions by allowing only one thread to execute the synchronized code at a time.",,,,,,,,
Open Ended,Java,English,Medium,What is the Executor Framework in Java?,"The Executor Framework provides a way of managing threads by decoupling task submission from task execution, using interfaces like Executor, ExecutorService, and classes like ThreadPoolExecutor.",,,,,,,,
Open Ended,Java,English,Medium,What is the difference between 'Callable' and 'Runnable' interfaces?,Both represent tasks to be executed by threads. 'Runnable' does not return a result and cannot throw checked exceptions. 'Callable' can return a result and throw checked exceptions.,,,,,,,,
Open Ended,Java,English,Medium,How do you handle deadlocks in Java?,"Deadlocks can be handled by avoiding them through careful coding: acquiring locks in a consistent order, using lock timeouts, or employing higher-level concurrency utilities from 'java.util.concurrent'.",,,,,,,,
Open Ended,Java,English,Medium,What is the Java Memory Model (JMM)?,"The JMM defines how threads interact through memory, specifying visibility and ordering of variable reads and writes, ensuring consistency across different platforms and optimizations.",,,,,,,,
Open Ended,Java,English,Medium,Explain the concept of reflection in Java and its typical use cases.,"Reflection allows inspection and manipulation of classes, methods, and fields at runtime. It's used for tasks like creating objects dynamically, accessing private fields, and implementing frameworks like serialization and dependency injection.",,,,,,,,
Open Ended,Java,English,Medium,"What are annotations, and how are custom annotations created and used in Java?","Annotations provide metadata about code. Custom annotations are defined using '@interface', and can be applied to code elements. They may be processed at compile time or runtime using reflection or annotation processors.",,,,,,,,
Open Ended,Java,English,Medium,"What is the difference between 'wait()', 'sleep()', and 'yield()' methods in Java?","'wait()' releases the lock and waits for 'notify()', 'sleep()' pauses the thread without releasing the lock, and 'yield()' allows the thread scheduler to execute other threads of equal priority.",,,,,,,,
Open Ended,Java,English,Medium,How does the 'ConcurrentHashMap' work in Java?,"'ConcurrentHashMap' allows concurrent access by partitioning the map into segments. It uses lock stripping, allowing simultaneous write operations on different segments, improving concurrency over 'Hashtable'.",,,,,,,,
Open Ended,Java,English,Medium,What are the benefits of using generics in Java?,"Generics provide type safety by allowing you to specify the type of objects a collection can contain, reducing runtime errors and eliminating the need for explicit casting.",,,,,,,,
Open Ended,Java,English,Medium,Explain what a memory leak is in Java and how it can occur.,"A memory leak happens when objects are no longer used by the application but are still referenced, preventing the garbage collector from reclaiming their memory.",,,,,,,,
Open Ended,Java,English,Medium,"What is the 'Path' and 'Files' class in Java NIO, and how do they improve file I/O operations?","'Path' represents a file path, and 'Files' provides utility methods for file operations. They simplify and enhance file I/O with better error handling, support for symbolic links, and bulk operations.",,,,,,,,
Open Ended,Java,English,Medium,How do you implement a custom class to be used in a 'HashSet'?,Override both 'equals()' and 'hashCode()' methods to ensure that the class instances can be properly stored and retrieved from a 'HashSet'.,,,,,,,,
Open Ended,Java,English,Medium,What is the difference between 'deep cloning' and 'serialization' for object copying?,"Deep cloning creates a new object with copies of all nested objects, typically using the 'Cloneable' interface. Serialization converts the object to a byte stream and back, which can also achieve deep copy if properly implemented.",,,,,,,,
Open Ended,Java,English,Medium,Explain the concept of a 'Daemon' thread and how it differs from a 'User' thread.,Daemon threads are background service threads that do not prevent the JVM from exiting when all user threads finish. User threads are primary threads that keep the application running.,,,,,,,,
Open Ended,Java,English,Medium,"What is the difference between JDK, JRE, and JVM?",JDK is the Java Development Kit that provides tools to develop Java applications. JRE is the Java Runtime Environment that provides the libraries and environment to run Java applications. JVM is the Java Virtual Machine that executes Java bytecode.,,,,,,,,
Open Ended,Java,Romanian,Medium,Care este diferența dintre 'StringBuilder' și 'StringBuffer' în Java?,"Atât 'StringBuilder', cât și 'StringBuffer' sunt folosite pentru a crea stringuri mutabile. Diferența principală este că 'StringBuffer' este sincronizat (thread-safe) dar mai lent, în timp ce 'StringBuilder' nu este sincronizat (nu este thread-safe) dar este mai rapid.",,,,,,,,
Open Ended,Java,Romanian,Medium,Explicați cum funcționează intern 'HashMap' în Java.,"Un 'HashMap' folosește un tablou de bucket-uri pentru a stoca perechi cheie-valoare. Calculează un cod hash pentru cheie, care determină indicele bucket-ului. În caz de coliziuni de hash, folosește o listă legată sau un arbore echilibrat (începând cu Java 8) în cadrul bucket-ului.",,,,,,,,
Open Ended,Java,Romanian,Medium,Care este semnificația metodelor 'equals()' și 'hashCode()'?,"Aceste metode sunt folosite în structuri de date bazate pe hashing. 'equals()' verifică egalitatea logică, în timp ce 'hashCode()' furnizează o reprezentare numerică folosită pentru a plasa obiectele în bucket-uri. O implementare corectă asigură că obiectele egale au același cod hash.",,,,,,,,
Open Ended,Java,Romanian,Medium,Descrieți diferența dintre 'final'  'finally' și 'finalize' în Java.,'final' este un cuvânt cheie folosit pentru a defini constante și a preveni moștenirea sau suprascrierea. 'finally' este un bloc folosit în gestionarea excepțiilor pentru a executa codul indiferent de excepții. 'finalize' este o metodă apelată de colectorul de gunoi înainte de a distruge un obiect.,,,,,,,,
Open Ended,Java,Romanian,Medium,Care este rolul unui ClassLoader în Java?,Un ClassLoader face parte din Java Runtime Environment care încarcă dinamic clasele Java în Java Virtual Machine. Se ocupă de găsirea și încărcarea fișierelor de clasă la rulare.,,,,,,,,
Open Ended,Java,Romanian,Medium,Cum preveniți o clasă să fie subclasată în Java?,Declarând clasa ca 'final'. O clasă 'final' nu poate fi extinsă.,,,,,,,,
Open Ended,Java,Romanian,Medium,Explicați conceptul de serializare și deserializare în Java.,"Serializarea este procesul de convertire a unui obiect într-un flux de octeți pentru stocare sau transmitere. Deserializarea este procesul invers, reconstruind obiectul din fluxul de octeți.",,,,,,,,
